di3,di2,di1,di0,format,length,unit,read,write,name
0,0,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)组合有功总电能
0,1,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)正向有功总电能
0,2,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)反向有功总电能
0,3,0,0,XXXXXX.XX,4,kvarh,TRUE,FALSE,(当前)组合无功1总电能
0,4,0,0,XXXXXX.XX,4,kvarh,TRUE,FALSE,(当前)组合无功2总电能
0,5,0,0,XXXXXX.XX,4,kvarh,TRUE,FALSE,(当前)第一象限无功总电能
0,6,0,0,XXXXXX.XX,4,kvarh,TRUE,FALSE,(当前)第二象限无功总电能
0,7,0,0,XXXXXX.XX,4,kvarh,TRUE,FALSE,(当前)第三象限无功总电能
0,8,0,0,XXXXXX.XX,4,kvarh,TRUE,FALSE,(当前)第四象限无功总电能
0,9,0,0,XXXXXX.XX,4,kVAh,TRUE,FALSE,(当前)正向视在总电能
0,A,0,0,XXXXXX.XX,4,kVAh,TRUE,FALSE,(当前)反向视在总电能
0,B,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,当前结算周期组合有功总累计用电量
0,80,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)关联总电能
0,81,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)正向有功基波总电能
0,82,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)反向有功基波总电能
0,83,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)正向有功谐波总电能
0,84,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)反向有功谐波总电能
0,85,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)铜损有功总电能补偿量
0,86,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)铁损有功总电能补偿量
0,15,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)A相正向有功电能
0,16,0,0,XXXXXX.XX,4,kWh,TRUE,FALSE,(当前)A相反向有功电能
